order_id,company,city,order_time,vehicle_type,distance_km,parcel_weight_kg,price_rs,status,delivery_time_min,customer_rating,customer_feedback,sentiment_label,merchant_id,driver_id,cod_flag,promo_used,order_value_rs,shipment_type,service_level
ORD109290,Porter,Ahmedabad,02/10/25 16:22,2W,0.95,0.58,48.05,delayed,5,1,Package was damaged on arrival.,negative,m_2507,d_95047,0,0,1641.06,B2B,standard
ORD109709,Shadowfax,Delhi-NCR,05/01/25 19:55,2W,32.86,0.83,244.47,delayed,129.8,1,"Very poor service, won't recommend.",negative,m_6971,d_54064,1,0,564.59,B2C,standard
ORD101650,Shiprocket,Surat,04/30/24 3:30,2W,14.4,4.34,125.1,delayed,69.6,4,"Excellent service, will use again",positive,m_8389,d_67358,0,1,50,B2C,standard
ORD109786,Delhivery,Calicut,05/18/24 1:20,Van,53.3,3.18,447.16,delayed,285.1,1,"Delivery took too long, disappointed Expected better.",negative,m_3368,d_64334,1,1,583.68,B2C,standard
ORD102813,Porter,Surat,05/08/25 23:45,Van,10.9,1.64,116.77,delayed,59.8,4,Driver was polite and on time Quick response from support.,positive,m_2648,d_60966,0,0,2232.73,B2C,express
ORD103704,Delhivery,Bengaluru,11/11/24 3:30,2W,4.55,2.18,76.65,delayed,5,4,Package arrived in perfect condition Expected better.,positive,m_6528,d_16841,0,1,885.21,B2C,standard
ORD106118,BlueDart,Chandigarh,01/10/24 20:28,Tempo,1.18,4.26,130.7,delayed,9.3,2,"Very poor service, won't recommend",negative,m_3825,d_52955,0,0,498.7,B2C,standard
ORD105042,Shiprocket,Chandigarh,06/30/25 19:52,2W,7.41,2.09,71.53,delayed,29.5,2,"Very poor service, won't recommend",negative,m_9267,d_34237,0,1,123.73,B2C,standard
ORD111208,Porter,Visakhapatnam,12/22/24 10:31,Van,47.83,4.06,417.74,delayed,270.6,1,"Very poor service, won't recommend Quick response from support.",negative,m_3149,d_26920,0,1,538.95,B2C,express
ORD107238,Shadowfax,Surat,08/05/24 1:01,2W,6.77,0.4,68.56,delayed,41.2,1,Driver cancelled multiple times.,negative,m_6686,d_11207,0,1,241.56,B2C,express
ORD111505,Shadowfax,Nagpur,12/12/24 2:10,2W,23.3,2.97,183.15,delayed,97.4,4,Package arrived in perfect condition,positive,m_7619,d_69391,0,0,1375.48,B2C,express
ORD111074,DTDC,Rajkot,01/08/26 8:50,2W,59.04,0.63,321.82,delayed,239.4,2,"Order lost, support unhelpful",negative,m_2286,d_62067,0,0,3974.25,B2C,standard
ORD110996,Shadowfax,Hyderabad,03/23/25 14:48,Mini-Truck,26.64,3.58,278.01,returned,170.3,1,Driver cancelled multiple times Quick response from support.,negative,m_3042,d_53467,0,0,974.81,B2C,express
ORD104999,Delhivery,Hyderabad,01/13/24 21:30,Mini-Truck,0.3,0.14,51.39,delayed,5,1,Driver cancelled multiple times.,negative,m_2760,d_20217,0,0,1760.48,B2B,standard
ORD108480,Shadowfax,Kolkata,06/28/25 11:56,Tempo,6.12,1.63,107.68,delayed,56.5,2,"Very poor service, won't recommend",negative,m_8965,d_51885,0,1,112.37,B2C,standard
ORD109267,DTDC,Surat,04/27/25 14:19,2W,7.99,3.38,93.41,delayed,28,1,"Delivery took too long, disappointed Quick response from support.",negative,m_7645,d_58684,1,1,431.59,B2C,standard
ORD108398,Porter,Indore,11/04/25 22:55,2W,12.04,4.63,140.11,delayed,64.3,2,"Order lost, support unhelpful.",negative,m_1017,d_92549,0,1,149.95,B2C,standard
ORD102631,DTDC,Chandigarh,06/09/25 14:19,Mini-Truck,1.42,3.99,88.3,delayed,15.8,1,"Very poor service, won't recommend",negative,m_5575,d_48413,0,0,3541.02,B2C,standard
ORD103131,Delhivery,Pune,02/07/25 6:57,Van,1.54,2.49,80.75,delayed,21.4,2,"Delivery took too long, disappointed",negative,m_8362,d_84413,0,0,1047.61,B2C,express
ORD109583,DTDC,Bengaluru,12/21/24 3:14,Mini-Truck,2.1,3.41,89.71,delayed,5,3,Average experience.,neutral,m_2571,d_49439,0,1,1281.9,B2C,scheduled
ORD108218,Porter,Tiruppur,06/09/24 20:37,2W,5.22,1.94,80.63,delivered,19.4,4,"Excellent service, will use again.",positive,m_7165,d_84643,0,0,527.95,B2C,standard
ORD109276,Porter,Visakhapatnam,06/23/25 3:16,Tempo,1.46,1.33,73.71,delayed,14.2,1,"Very poor service, won't recommend Quick response from support.",negative,m_8951,d_47810,0,0,601.91,B2C,standard
ORD103813,Porter,Rajkot,02/17/24 1:14,2W,1.53,2.89,61.51,delayed,19.8,1,"Delivery took too long, disappointed Expected better.",negative,m_5137,d_11420,0,0,171.26,B2C,standard
ORD105886,DTDC,Vadodara,07/23/25 6:21,Tempo,2.89,0.39,70.85,returned,28.3,2,"Very poor service, won't recommend",negative,m_5706,d_66530,0,0,370.66,B2B,express
ORD105082,Delhivery,Kolkata,11/10/25 11:48,Van,0.55,2.85,72.84,delayed,13.5,1,"Delivery took too long, disappointed Quick response from support.",negative,m_9316,d_43641,1,0,398.35,B2C,standard
ORD111815,DTDC,Bengaluru,11/13/25 11:01,2W,50.08,4.71,300.4,delayed,220.4,4,Driver was polite and on time.,positive,m_7771,d_27541,0,1,1039.13,B2C,standard
ORD108823,Porter,Ahmedabad,10/20/24 16:07,2W,0.3,0.65,42.09,delayed,21.9,3,Standard service,neutral,m_6819,d_33090,0,0,606.49,B2C,standard
ORD101217,DTDC,Chandigarh,03/03/25 17:59,Van,6.15,3.44,104.52,delivered,31.8,4,Smooth pickup and delivery,positive,m_2632,d_26579,1,0,115.72,B2C,express
ORD103991,Porter,Tiruppur,01/21/26 22:50,Truck,2.73,1.19,108.43,delayed,42.5,1,"Very poor service, won't recommend",negative,m_2713,d_49220,0,1,2345.15,B2C,express
ORD111147,Shadowfax,Calicut,07/02/24 0:18,Truck,17.1,3.63,242.57,delayed,159.6,3,Standard service,neutral,m_2757,d_62223,1,0,440.66,B2C,standard
ORD107615,Porter,Kanpur,11/24/25 4:02,Truck,0.3,0.84,81.37,delayed,5,1,"Delivery took too long, disappointed",negative,m_9730,d_28045,0,0,221.85,B2C,standard
ORD110691,Porter,Indore,02/12/25 5:38,2W,45.92,5.22,337.08,delayed,194.8,3,Delivery was okay.,neutral,m_4522,d_33847,0,0,1042.64,B2C,standard
ORD110184,BlueDart,Ahmedabad,07/19/24 16:27,Truck,35.19,0.71,491.86,delayed,310.5,3,Standard service.,neutral,m_4532,d_50315,0,1,50,B2B,express
ORD101683,DTDC,Chandigarh,06/15/25 20:07,Tempo,6.92,3.57,126.43,delayed,52,1,Package was damaged on arrival.,negative,m_7246,d_50556,0,0,131.37,B2C,standard
ORD104574,Porter,Pune,02/04/24 15:45,2W,0.87,0.35,44.39,delayed,5,3,Delivery was okay,neutral,m_8289,d_96027,1,0,395.92,B2C,scheduled
ORD111540,Porter,Calicut,07/04/25 6:08,Van,50.3,0.68,371.6,delayed,268.9,1,"Delivery took too long, disappointed",negative,m_2271,d_26958,1,0,616.65,B2C,standard
ORD110750,DTDC,Thiruvananthapuram,06/02/25 18:34,2W,47.43,3.58,297.26,delayed,201.6,3,Standard service.,neutral,m_4813,d_94562,0,0,447.45,B2C,standard
ORD111283,Porter,Nagpur,03/05/24 18:56,2W,14.83,1.56,121.62,delayed,72.3,1,Package was damaged on arrival,negative,m_8224,d_25574,0,0,220.3,B2C,standard
ORD107562,Delhivery,Chandigarh,03/15/25 12:39,Tempo,6.29,5.52,161.06,delayed,29.7,3,Average experience Expected better.,neutral,m_6459,d_62924,0,0,315.08,B2B,express
ORD105903,BlueDart,Vadodara,03/25/25 5:44,Van,0.3,5.78,116.99,delayed,25.4,1,Package was damaged on arrival Expected better.,negative,m_1930,d_80298,0,0,60.96,B2C,express
ORD102582,Shadowfax,Visakhapatnam,10/08/24 21:18,Mini-Truck,7.55,2.44,109.62,delayed,30.5,1,"Order lost, support unhelpful",negative,m_6080,d_18822,0,0,1099.24,B2C,standard
ORD103002,DTDC,Jaipur,07/25/25 15:58,Truck,0.64,1.36,77.46,delayed,5.1,1,"Delivery took too long, disappointed Expected better.",negative,m_7983,d_47580,0,0,761.97,B2C,standard
ORD110043,Delhivery,Visakhapatnam,07/17/25 0:58,Mini-Truck,57.31,2.97,510.56,delayed,369,2,Driver cancelled multiple times.,negative,m_6838,d_17255,0,0,117.08,B2C,standard
ORD102087,Delhivery,Pune,07/07/25 14:07,2W,0.3,2.16,53.07,delayed,6.3,2,Driver cancelled multiple times.,negative,m_2505,d_61086,0,1,789.6,B2C,standard
ORD108928,Porter,Kolkata,07/18/24 1:02,Van,3.14,0.61,69.69,delayed,8.6,2,"Very poor service, won't recommend Expected better.",negative,m_3410,d_27658,0,0,2101.15,B2C,standard
ORD104148,Porter,Hyderabad,02/07/24 22:22,Van,8.12,1.06,104.22,delayed,44.6,4,"Excellent service, will use again",positive,m_1742,d_38534,1,0,671.83,B2C,standard
ORD100135,Shadowfax,Jaipur,11/07/24 20:15,Van,3.92,7.25,122.8,delayed,28.4,2,Package was damaged on arrival Quick response from support.,negative,m_1074,d_61293,0,1,1349.56,B2C,standard
ORD109917,BlueDart,Lucknow,10/09/25 21:37,2W,19.12,0.98,181.76,delayed,70.6,4,"Quick delivery, very satisfied.",positive,m_9335,d_69820,1,0,50,B2C,express
ORD101743,Shiprocket,Hyderabad,12/01/25 5:45,2W,4.27,6.09,82.4,delayed,29.3,1,"Delivery took too long, disappointed",negative,m_9195,d_83197,0,0,389.15,B2B,express
ORD107341,Delhivery,Coimbatore,02/03/25 17:24,Van,4.8,3.84,122.33,delayed,23.4,2,Driver cancelled multiple times.,negative,m_8309,d_86999,0,0,3270.23,B2C,express
ORD110874,Porter,Tiruppur,01/31/24 19:11,Tempo,9.88,6.86,211.11,delayed,66.7,4,Driver was polite and on time,positive,m_5797,d_70794,0,0,1422.16,B2C,standard
ORD103707,Shadowfax,Rajkot,12/18/25 5:56,2W,11.4,6.66,136.89,delayed,26.3,2,Driver cancelled multiple times Quick response from support.,negative,m_1817,d_94511,0,0,50,B2C,standard
ORD105470,Porter,Nagpur,12/04/24 2:40,Van,5.96,7.15,130.94,delayed,30.1,4,Smooth pickup and delivery.,positive,m_5269,d_72333,0,0,463.15,B2B,scheduled
ORD100700,Shiprocket,Kanpur,02/03/26 4:42,2W,1.85,1.03,48.27,delayed,7.3,4,"Excellent service, will use again Quick response from support.",positive,m_6239,d_17764,0,0,72.04,B2C,express
ORD108557,DTDC,Kanpur,08/28/24 18:30,Mini-Truck,5.09,9.04,151.14,delayed,33.8,4,"Quick delivery, very satisfied",positive,m_4250,d_53456,0,1,65.29,B2C,standard
ORD111715,Delhivery,Calicut,09/17/24 18:37,Tempo,44.64,2.61,435.43,delayed,291.5,3,Average experience Expected better.,neutral,m_3468,d_34749,1,0,755.48,B2C,standard
ORD101608,Delhivery,Rajkot,10/27/25 3:14,Tempo,4.01,3.57,133.46,delayed,18.3,2,Driver cancelled multiple times,negative,m_5584,d_22761,0,0,1175.97,B2C,standard
ORD105863,BlueDart,Kolkata,09/30/25 10:53,2W,4.06,2.98,93.51,delayed,15.8,2,"Very poor service, won't recommend Quick response from support.",negative,m_3496,d_90995,1,0,139.22,B2C,express
ORD100429,Delhivery,Rajkot,06/18/24 8:14,Tempo,6.81,2.88,143.12,delayed,45.3,1,"Order lost, support unhelpful",negative,m_6479,d_78451,1,0,509.91,B2C,standard
ORD104023,DTDC,Pune,08/14/25 21:03,Mini-Truck,0.53,4.95,97.67,delivered,12,4,Driver was polite and on time,positive,m_5025,d_61253,0,1,1261.05,B2C,standard
ORD106688,BlueDart,Visakhapatnam,05/04/24 19:34,2W,5.08,2.87,105.2,delayed,21.7,1,"Delivery took too long, disappointed Quick response from support.",negative,m_1152,d_62515,0,0,2489.14,B2C,standard
ORD104100,Shadowfax,Visakhapatnam,04/28/24 15:09,2W,2.85,2.1,66.92,delayed,5,3,Delivery was okay Expected better.,neutral,m_2954,d_45738,0,0,50,B2B,standard
ORD108875,BlueDart,Hyderabad,10/10/24 0:51,Tempo,1.15,1.6,101.13,delayed,5.8,3,Average experience,neutral,m_2703,d_69431,0,0,1452.16,B2C,standard
ORD108514,Shadowfax,Calicut,12/10/24 11:06,2W,7.34,1.3,84.7,delayed,30.2,1,"Very poor service, won't recommend",negative,m_4065,d_99114,0,0,834.04,B2C,standard
ORD109649,Delhivery,Coimbatore,06/06/24 2:17,Van,35.49,3.24,271.91,delayed,184.9,2,Package was damaged on arrival,negative,m_7013,d_91305,1,0,4983.06,B2C,standard
ORD102270,Porter,Vadodara,02/08/24 21:38,Mini-Truck,2.82,3.64,105.51,delayed,15.9,3,"No issues, nothing special",neutral,m_7615,d_43793,1,0,50,B2C,standard
ORD107692,Porter,Chennai,07/01/24 0:25,2W,4.35,7.08,108.09,delayed,32.9,1,"Very poor service, won't recommend.",negative,m_6724,d_82457,0,0,176.31,B2C,standard
ORD100070,Porter,Vadodara,03/05/25 0:46,Van,3.7,3.68,101.27,delayed,5,3,"No issues, nothing special",neutral,m_9866,d_57077,1,1,200.59,B2C,standard
ORD105720,Delhivery,Kanpur,12/11/25 3:49,2W,4.76,1.3,74.92,delivered,24.8,3,Delivery was okay Expected better.,neutral,m_7948,d_52552,1,1,5193.48,B2C,standard
ORD110747,Shadowfax,Pune,11/27/24 21:32,Mini-Truck,20.41,0.42,185.52,delayed,123.3,2,"Order lost, support unhelpful",negative,m_1011,d_55891,0,0,887.16,B2C,standard
ORD110152,Delhivery,Delhi-NCR,09/20/25 20:26,Van,51.31,1.23,425.38,delivered,287.6,3,Average experience Expected better.,neutral,m_6846,d_12421,0,0,697.07,B2C,standard
ORD111957,DTDC,Tiruppur,01/26/24 17:18,Van,40.6,3.79,308.34,delayed,215.3,2,"Delivery took too long, disappointed Quick response from support.",negative,m_2917,d_70056,0,0,204.14,B2C,scheduled
ORD109137,BlueDart,Mumbai,12/03/24 14:01,Truck,5,5.75,219.54,delayed,46.4,1,"Order lost, support unhelpful.",negative,m_2989,d_72510,0,0,371.76,B2C,standard
ORD102019,Shadowfax,Delhi-NCR,09/04/25 19:23,2W,6.1,1.32,71.96,delayed,23.9,3,Standard service,neutral,m_1834,d_50512,0,0,186.11,B2C,standard
ORD109836,Porter,Calicut,09/04/25 10:49,2W,41.45,5.67,310.62,delayed,173.5,1,Driver cancelled multiple times Quick response from support.,negative,m_3038,d_53631,0,0,207.16,B2C,standard
ORD111351,Porter,Rajkot,11/15/25 10:10,Van,10.97,4.22,160.28,delayed,64.6,3,"No issues, nothing special.",neutral,m_7007,d_67346,0,1,618.09,B2C,standard
ORD106702,BlueDart,Rajkot,03/10/24 9:07,2W,5.49,4.26,110.95,delayed,20.2,2,Package was damaged on arrival.,negative,m_6860,d_27855,0,1,999.02,B2C,standard
ORD104029,Delhivery,Kanpur,01/07/25 14:33,Van,8.55,5.01,145.13,delayed,45.3,4,"Quick delivery, very satisfied Quick response from support.",positive,m_7956,d_82405,0,1,1074.48,B2B,standard
ORD107759,BlueDart,Kolkata,05/15/25 1:16,2W,0.35,1.49,63.2,delayed,5,2,"Order lost, support unhelpful",negative,m_2345,d_43580,0,0,3666.99,B2C,standard
ORD111690,Shadowfax,Indore,07/30/25 5:04,Mini-Truck,38.83,0.88,329.75,delayed,249,3,Delivery was okay.,neutral,m_4645,d_78282,0,0,926.56,B2C,standard
ORD108483,Shadowfax,Coimbatore,06/12/24 19:20,2W,0.41,1.57,48.17,delayed,5,3,Standard service,neutral,m_9680,d_76207,0,0,50,B2C,scheduled
ORD103858,Shadowfax,Calicut,01/30/26 10:44,Truck,3.44,0.43,98.15,delayed,29.5,2,Driver cancelled multiple times Expected better.,negative,m_5868,d_41757,0,0,350.9,B2B,standard
ORD100744,Shadowfax,Hyderabad,05/30/25 12:26,Tempo,4.29,4.15,118.96,delayed,24.3,2,"Delivery took too long, disappointed",negative,m_1577,d_85389,0,0,682.04,B2C,standard
ORD101383,Shadowfax,Ahmedabad,04/25/24 23:21,Van,12.02,0.78,119.38,delayed,68.9,1,"Very poor service, won't recommend Expected better.",negative,m_3142,d_20940,0,0,1603.26,B2C,standard
ORD105643,Shadowfax,Coimbatore,05/14/25 9:54,Mini-Truck,1.15,6.68,120.38,delayed,10.9,2,Package was damaged on arrival.,negative,m_4188,d_98381,0,0,2098.8,B2C,standard
ORD108685,Shiprocket,Nagpur,06/25/25 13:48,2W,0.3,3.58,50.29,delayed,6.8,4,Driver was polite and on time,positive,m_2425,d_96268,1,1,1518.95,B2C,standard
ORD110613,Shadowfax,Jaipur,08/22/24 7:53,2W,37.5,0.56,222,delayed,173.2,1,"Delivery took too long, disappointed.",negative,m_8252,d_87712,0,0,90.19,B2C,standard
ORD100149,Shiprocket,Vadodara,11/18/25 9:41,Mini-Truck,4.26,3.49,98.71,returned,19.7,1,Driver cancelled multiple times.,negative,m_4381,d_59302,0,0,1436.22,B2C,standard
ORD111879,Shiprocket,Chennai,04/30/24 7:06,2W,49.47,0.73,248.53,delayed,215.1,1,"Very poor service, won't recommend",negative,m_6288,d_39193,0,1,209.05,B2C,standard
ORD100811,Delhivery,Visakhapatnam,06/06/25 19:49,2W,0.66,1.28,51.11,delayed,5,2,Package was damaged on arrival,negative,m_5274,d_19356,0,1,1148.2,B2B,express
ORD105900,DTDC,Nagpur,01/07/25 16:19,2W,14.33,2.39,115.1,delayed,69.2,1,"Delivery took too long, disappointed",negative,m_9791,d_32582,0,1,223.76,B2C,standard
ORD104328,Shadowfax,Bengaluru,01/11/26 21:51,2W,1.59,7.7,89.54,delayed,8.2,2,"Delivery took too long, disappointed.",negative,m_5830,d_83587,1,0,125.91,B2C,standard
ORD106373,Shadowfax,Bengaluru,07/22/24 2:07,2W,2.03,6.42,94.04,delayed,22.5,2,"Delivery took too long, disappointed",negative,m_8941,d_62500,0,1,479.1,B2C,standard
ORD103995,Delhivery,Kanpur,04/14/24 9:40,2W,0.82,2.69,58.81,delayed,5,2,"Order lost, support unhelpful.",negative,m_7583,d_23593,0,1,770.37,B2C,standard
ORD104382,Delhivery,Lucknow,03/09/24 1:20,2W,6.38,0.6,79.06,delayed,24.9,2,"Delivery took too long, disappointed Expected better.",negative,m_6792,d_80956,1,0,171.32,B2C,standard
ORD101730,Porter,Chennai,03/29/25 4:50,Van,3.05,1.93,83.15,delayed,28.4,2,"Delivery took too long, disappointed Expected better.",negative,m_6190,d_46643,0,0,50,B2C,standard
ORD104359,Shadowfax,Calicut,03/04/24 23:17,2W,2.57,4.64,81.09,delayed,6.6,1,Driver cancelled multiple times Quick response from support.,negative,m_2085,d_73067,0,1,3028.1,B2C,standard
ORD105027,Porter,Chennai,05/31/25 9:20,Truck,10.48,1.28,186.88,delayed,78,3,Standard service,neutral,m_7086,d_58075,0,0,783.85,B2C,scheduled
ORD101793,Shiprocket,Vadodara,10/09/25 3:14,Mini-Truck,1.57,4.61,87.67,delayed,19.5,2,"Order lost, support unhelpful Expected better.",negative,m_6380,d_26013,0,1,1475.11,B2C,express
ORD109079,BlueDart,Vadodara,03/19/25 12:01,Truck,1.72,2.65,140.26,delayed,13.3,1,"Order lost, support unhelpful Quick response from support.",negative,m_4541,d_29375,0,0,266.67,B2B,standard
ORD105466,Porter,Rajkot,02/28/24 8:56,Mini-Truck,2.09,3.48,93.79,delayed,23,2,Package was damaged on arrival.,negative,m_5659,d_39183,1,0,1885.25,B2C,standard
ORD111127,Porter,Mumbai,04/24/25 8:20,2W,13.9,0.86,120.38,delivered,57.9,3,Package arrived late but ok.,neutral,m_7333,d_44087,0,0,576.22,B2C,express
ORD108486,BlueDart,Hyderabad,03/21/24 6:13,Mini-Truck,1.19,3.85,114.05,delayed,5,4,Smooth pickup and delivery,positive,m_9235,d_19799,1,1,4562.07,B2B,scheduled
ORD101121,DTDC,Surat,05/08/25 22:09,Van,3.5,6.16,107.01,delayed,12.9,2,Package was damaged on arrival,negative,m_7350,d_70417,1,0,952.18,B2C,standard
ORD104618,Delhivery,Indore,03/07/24 22:26,2W,1.28,2.55,69.97,delayed,5,2,Package was damaged on arrival Expected better.,negative,m_2207,d_52712,0,0,1815.72,B2B,standard
ORD105937,Porter,Rajkot,01/10/25 4:51,Tempo,0.75,2.34,81.22,delayed,9.8,1,Driver cancelled multiple times.,negative,m_6437,d_39837,0,1,111.26,B2C,standard
ORD109527,Shadowfax,Chandigarh,06/25/24 0:02,Mini-Truck,2.14,3.93,98.03,delayed,19.4,1,Driver cancelled multiple times,negative,m_7128,d_11465,0,0,784.25,B2B,standard
ORD102034,Shadowfax,Thiruvananthapuram,11/04/25 5:45,Truck,2.71,5.78,152.32,delayed,5,1,Driver cancelled multiple times Quick response from support.,negative,m_7034,d_63499,0,1,1016.2,B2C,express
ORD103126,Porter,Coimbatore,07/05/25 4:54,Van,1.78,3.33,83.6,delayed,15.4,2,"Order lost, support unhelpful Quick response from support.",negative,m_5813,d_90458,0,1,1290.65,B2C,standard
ORD111064,Porter,Delhi-NCR,12/29/25 21:15,Van,28.73,6.41,292.35,delayed,157.8,4,Smooth pickup and delivery Expected better.,positive,m_8004,d_73361,0,0,1059.46,B2C,standard
ORD111822,Porter,Rajkot,10/07/24 18:34,2W,41.81,4.77,303.55,delayed,164.2,1,"Delivery took too long, disappointed.",negative,m_1743,d_19096,0,0,106.11,B2C,standard
ORD103827,Delhivery,Tiruppur,01/30/26 3:27,2W,2.38,4.06,77,delayed,20.2,1,Driver cancelled multiple times Quick response from support.,negative,m_1251,d_62184,0,0,1772.22,B2C,express
ORD104367,Porter,Kolkata,07/28/25 18:10,Mini-Truck,4.82,2.7,120.93,delayed,22.1,3,Delivery was okay Quick response from support.,neutral,m_2219,d_81053,1,1,543.64,B2C,standard
ORD105297,Porter,Indore,01/27/26 14:15,Truck,0.92,4.88,138.2,delayed,5,1,Driver cancelled multiple times.,negative,m_3311,d_83981,0,1,290.05,B2C,standard
ORD103210,Shiprocket,Pune,04/16/25 10:58,Mini-Truck,1.6,6.15,95.09,delayed,7.1,1,Driver cancelled multiple times,negative,m_5589,d_76537,0,0,342.72,B2B,standard
ORD109928,Delhivery,Mumbai,01/09/25 5:43,Tempo,37.96,4.66,394.32,delayed,271.8,2,"Very poor service, won't recommend.",negative,m_1902,d_30164,0,1,363.32,B2C,standard
ORD102698,DTDC,Coimbatore,10/07/25 17:50,Mini-Truck,7.35,4.47,126.23,delayed,45.7,1,"Very poor service, won't recommend Quick response from support.",negative,m_5333,d_20818,0,1,50,B2C,standard
ORD108045,Porter,Surat,08/10/24 18:10,2W,1.62,4.97,86.49,delayed,9.9,1,"Delivery took too long, disappointed Quick response from support.",negative,m_6005,d_44550,0,0,772.61,B2C,standard
ORD104279,BlueDart,Chandigarh,12/22/25 15:27,Tempo,4.59,3.69,149.76,delayed,45.9,2,"Delivery took too long, disappointed Expected better.",negative,m_8278,d_12795,0,0,961.58,B2B,standard
ORD100373,Shiprocket,Calicut,11/23/24 22:26,2W,3.22,5.48,81.89,delayed,6.3,2,"Order lost, support unhelpful",negative,m_1038,d_50901,0,0,616.69,B2C,standard
ORD100624,Porter,Mumbai,12/20/25 7:29,2W,0.35,7.38,88.43,delayed,5,2,"Order lost, support unhelpful.",negative,m_3438,d_59500,0,0,1354.41,B2C,standard
ORD111617,BlueDart,Pune,11/30/25 10:28,Truck,31.65,5.31,537.85,delayed,253.3,2,"Delivery took too long, disappointed",negative,m_9071,d_79343,0,0,620,B2C,standard
